TRANSIT, BUS_SO, BUS_1_S5, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, BUS_S2, BUS_1_S6, {'WALK': {'speed': 1.4, 'travel_time': 217.24151893922215, 'length': 304.138126514911}}
TRANSIT, BUS_S4, BUS_1_S7, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, BUS_1_S6, BUS_S1, {'WALK': {'speed': 1.4, 'travel_time': 217.24151893922215, 'length': 304.138126514911}}
TRANSIT, BUS_1_S7, BUS_S4, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, TRAM_SO, BUS_1_S5, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, TRAM_S1, BUS_1_S6, {'WALK': {'speed': 1.4, 'travel_time': 217.24151893922215, 'length': 304.138126514911}}
TRANSIT, TRAM_S4, BUS_1_S7, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, METRO_S2, BUS_1_S6, {'WALK': {'speed': 1.4, 'travel_time': 217.24151893922215, 'length': 304.138126514911}}
TRANSIT, BUS_S1, BUS_1_S6, {'WALK': {'speed': 1.4, 'travel_time': 217.24151893922215, 'length': 304.138126514911}}
TRANSIT, BUS_1_S5, TRAM_SO, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, BUS_1_S6, TRAM_S1, {'WALK': {'speed': 1.4, 'travel_time': 217.24151893922215, 'length': 304.138126514911}}
TRANSIT, BUS_1_S7, TRAM_S4, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, BUS_1_S5, METRO_SO, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, BUS_1_S6, METRO_S2, {'WALK': {'speed': 1.4, 'travel_time': 217.24151893922215, 'length': 304.138126514911}}
TRANSIT, BUS_1_S7, METRO_S4, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, TRAM_S4, DESTINATION_1, {'WALK': {'speed': 1.4, 'travel_time': 214.2857142857143, 'length': 300.0}}
TRANSIT, TRAM_S2, BUS_1_S6, {'WALK': {'speed': 1.4, 'travel_time': 217.24151893922215, 'length': 304.138126514911}}
TRAM, TRAM_SO, TRAM_S1, {'TRAM': {'speed': 8.5, 'travel_time': 70.58823529411765, 'length': 600.0}}
TRANSIT, BUS_1_S5, DESTINATION_0, {'WALK': {'speed': 1.4, 'travel_time': 217.24151893922215, 'length': 304.138126514911}}
TRANSIT, ORIGIN_1, METRO_S4, {'WALK': {'speed': 1.4, 'travel_time': 214.2857142857143, 'length': 300.0}}
TRANSIT, ORIGIN_S2, BUS_1_S6, {'WALK': {'speed': 1.4, 'travel_time': 217.24151893922215, 'length': 304.138126514911}}
TRANSIT, TRAM_S3, DESTINATION_S3, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, METRO_SO, DESTINATION_0, {'WALK': {'speed': 1.4, 'travel_time': 214.2857142857143, 'length': 300.0}}
TRAM, TRAM_S2, TRAM_S3, {'TRAM': {'speed': 8.5, 'travel_time': 70.58823529411764, 'length': 599.9999999999999}}
TRANSIT, BUS_1_S5, BUS_SO, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, ORIGIN_1, BUS_1_S7, {'WALK': {'speed': 1.4, 'travel_time': 217.24151893922215, 'length': 304.138126514911}}
TRAM, TRAM_S1, TRAM_S2, {'TRAM': {'speed': 8.5, 'travel_time': 70.58823529411765, 'length': 600.0}}
TRANSIT, BUS_1_S3, DESTINATION_S3, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, BUS_1_S6, TRAM_S2, {'WALK': {'speed': 1.4, 'travel_time': 217.24151893922215, 'length': 304.138126514911}}
BUS, BUS_S3, BUS_S4, {'BUS': {'speed': 8.5, 'travel_time': 70.58823529411768, 'length': 600.0000000000002}}
TRANSIT, ORIGIN_S4, BUS_1_S7, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, ORIGIN_SO, BUS_1_S5, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, TRAM_SO, DESTINATION_0, {'WALK': {'speed': 1.4, 'travel_time': 214.2857142857143, 'length': 300.0}}
TRANSIT, ORIGIN_S3, TRAM_S3, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
BUS, BUS_1_S3, BUS_1_S7, {'BUS': {'speed': 8.5, 'travel_time': 70.58823529411768, 'length': 600.0000000000002}}
TRANSIT, BUS_1_S7, DESTINATION_S4, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, ORIGIN_S3, BUS_1_S3, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, ORIGIN_S1, BUS_1_S6, {'WALK': {'speed': 1.4, 'travel_time': 217.24151893922215, 'length': 304.138126514911}}
BUS, BUS_SO, BUS_S1, {'BUS': {'speed': 8.5, 'travel_time': 70.58823529411765, 'length': 600.0}}
BUS, BUS_S2, BUS_S3, {'BUS': {'speed': 8.5, 'travel_time': 70.58823529411764, 'length': 599.9999999999999}}
TRANSIT, BUS_SO, DESTINATION_0, {'WALK': {'speed': 1.4, 'travel_time': 214.2857142857143, 'length': 300.0}}
TRANSIT, BUS_1_S5, DESTINATION_SO, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
METRO, METRO_SO, METRO_S2, {'METRO': {'speed': 11, 'travel_time': 109.0909090909091, 'length': 1200.0}}
TRANSIT, ORIGIN_S3, BUS_S3, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, ORIGIN_0, BUS_1_S5, {'WALK': {'speed': 1.4, 'travel_time': 217.24151893922215, 'length': 304.138126514911}}
BUS, BUS_1_S6, BUS_1_S3, {'BUS': {'speed': 8.5, 'travel_time': 105.88235294117645, 'length': 899.9999999999998}}
TRAM, TRAM_S3, TRAM_S4, {'TRAM': {'speed': 8.5, 'travel_time': 70.58823529411768, 'length': 600.0000000000002}}
TRANSIT, BUS_1_S7, DESTINATION_1, {'WALK': {'speed': 1.4, 'travel_time': 217.24151893922215, 'length': 304.138126514911}}
TRANSIT, BUS_1_S6, BUS_S2, {'WALK': {'speed': 1.4, 'travel_time': 217.24151893922215, 'length': 304.138126514911}}
TRANSIT, BUS_S4, DESTINATION_1, {'WALK': {'speed': 1.4, 'travel_time': 214.2857142857143, 'length': 300.0}}
TRANSIT, ORIGIN_0, BUS_SO, {'WALK': {'speed': 1.4, 'travel_time': 214.2857142857143, 'length': 300.0}}
TRANSIT, BUS_1_S6, DESTINATION_S1, {'WALK': {'speed': 1.4, 'travel_time': 217.24151893922215, 'length': 304.138126514911}}
TRANSIT, METRO_SO, BUS_1_S5, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, ORIGIN_1, BUS_S4, {'WALK': {'speed': 1.4, 'travel_time': 214.2857142857143, 'length': 300.0}}
TRANSIT, BUS_1_S6, DESTINATION_S2, {'WALK': {'speed': 1.4, 'travel_time': 217.24151893922215, 'length': 304.138126514911}}
METRO, METRO_S2, METRO_S4, {'METRO': {'speed': 11, 'travel_time': 109.0909090909091, 'length': 1200.0}}
TRANSIT, BUS_S3, DESTINATION_S3, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, METRO_S4, BUS_1_S7, {'WALK': {'speed': 1.4, 'travel_time': 35.714285714285715, 'length': 50.0}}
TRANSIT, ORIGIN_0, METRO_SO, {'WALK': {'speed': 1.4, 'travel_time': 214.2857142857143, 'length': 300.0}}
TRANSIT, METRO_S4, DESTINATION_1, {'WALK': {'speed': 1.4, 'travel_time': 214.2857142857143, 'length': 300.0}}
TRANSIT, ORIGIN_0, TRAM_SO, {'WALK': {'speed': 1.4, 'travel_time': 214.2857142857143, 'length': 300.0}}
TRANSIT, ORIGIN_1, TRAM_S4, {'WALK': {'speed': 1.4, 'travel_time': 214.2857142857143, 'length': 300.0}}
BUS, BUS_S1, BUS_S2, {'BUS': {'speed': 8.5, 'travel_time': 70.58823529411765, 'length': 600.0}}
BUS, BUS_1_S5, BUS_1_S6, {'BUS': {'speed': 8.5, 'travel_time': 105.88235294117648, 'length': 900.0000000000001}}
